age_range,Embarked,Fare,SibSp,Parch,Pclass,Sex,Survived
1,S,7.7958,0,0,3,male,0
0,S,11.5,0,0,2,male,0
1,S,8.05,0,0,3,male,0
1,S,86.5,0,0,1,female,1
1,S,14.5,0,0,3,male,0
2,S,7.125,0,0,3,male,0
1,C,7.2292,0,0,3,male,1
1,S,120.0,1,2,1,female,1
0,S,7.775,0,0,3,male,0
2,S,77.9583,1,0,1,female,1
2,C,39.6,0,0,1,male,0
1,Q,7.75,0,0,3,female,0
1,Q,24.15,1,0,3,male,0
1,S,8.3625,0,0,3,male,0
1,S,9.5,0,0,3,male,0
2,S,7.8542,0,0,3,male,0
2,S,10.5,0,0,2,female,0
1,C,7.225,0,0,3,male,0
2,S,23.0,1,3,2,female,1
0,S,7.75,0,0,3,male,0
1,Q,7.75,0,0,3,male,0
0,S,12.475,0,0,3,female,1
1,Q,7.7375,0,0,3,male,0
2,S,211.3375,0,1,1,female,1
0,C,7.2292,0,0,3,female,1
0,S,57.0,1,0,1,female,1
1,S,30.0,0,0,1,male,0
1,S,23.45,1,2,3,male,0
1,S,7.05,0,0,3,male,0
1,S,7.25,0,0,3,male,0
0,S,7.4958,0,0,3,female,1
0,Q,29.125,4,1,3,male,0
0,S,20.575,1,2,3,male,1
2,C,79.2,0,0,1,male,0
1,Q,7.75,0,0,3,male,0
0,S,26.0,0,0,2,male,0
1,S,69.55,8,2,3,female,0
1,C,30.6958,0,0,1,male,0
1,S,7.8958,0,0,3,male,0
1,S,13.0,0,0,2,male,0
2,S,25.9292,0,0,1,female,1
1,S,8.6833,0,0,3,female,1
1,C,7.2292,0,0,3,male,0
1,S,24.15,1,1,3,female,0
1,S,13.0,0,0,2,male,0
1,S,26.25,1,1,2,female,1
0,S,120.0,1,2,1,male,1
0,C,8.5167,0,1,3,male,1
1,S,6.975,0,0,3,male,1
1,S,7.775,0,0,3,male,0
1,S,0.0,0,0,1,male,0
0,S,7.775,0,0,3,female,0
1,S,13.0,0,0,2,male,0
1,S,53.1,1,0,1,female,1
1,S,7.8875,0,0,3,male,0
1,S,24.15,0,0,3,male,0
1,S,10.5,0,0,2,male,0
0,S,31.275,4,2,3,female,0
1,S,8.05,0,0,3,male,0
1,S,0.0,0,0,1,male,0
1,S,7.925,0,0,3,female,0
1,C,37.0042,1,1,2,male,0
2,S,6.45,0,0,3,male,0
0,S,27.9,3,2,3,male,0
2,S,93.5,1,1,1,female,1
1,S,8.6625,0,0,3,male,1
1,S,0.0,0,0,1,male,0
1,S,12.475,0,1,3,female,1
0,S,39.6875,4,1,3,male,0
1,Q,6.95,0,0,3,male,0
1,S,56.4958,0,0,3,male,0
0,C,37.0042,0,2,2,male,1
1,Q,7.75,0,0,3,male,1
3,S,80.0,0,0,1,female,1
0,C,14.4542,1,0,3,female,1
0,S,18.75,1,1,2,male,1
1,C,7.2292,0,0,3,male,0
1,S,7.8542,0,0,3,male,0
0,S,8.3,0,0,3,male,0
1,C,83.1583,1,1,1,female,1
1,S,8.6625,0,0,3,male,0
1,S,8.05,0,0,3,male,0
1,S,56.4958,0,0,3,male,1
1,C,29.7,0,0,1,male,1
1,S,7.925,0,0,3,male,0
0,S,10.5,0,0,2,male,0
1,C,31.0,0,0,1,female,1
1,C,6.4375,0,0,3,male,0
0,S,8.6625,0,0,3,male,0
2,S,7.55,0,0,3,male,0
1,S,69.55,8,2,3,male,0
1,C,7.8958,0,0,3,male,0
1,S,33.0,0,1,2,male,0
1,C,89.1042,1,0,1,female,1
0,S,31.275,4,2,3,male,0
3,S,7.775,0,0,3,male,0
0,C,15.2458,1,1,3,female,0
0,S,39.4,0,1,1,female,1
2,S,26.0,1,0,2,female,0
0,S,9.35,0,1,3,female,1
2,S,164.8667,1,1,1,female,1
2,S,26.55,0,0,1,male,1
1,C,19.2583,0,3,3,female,1
1,C,7.2292,0,0,3,male,0
2,S,14.1083,2,0,3,male,0
1,S,11.5,1,0,2,male,0
2,S,25.9292,0,0,1,female,1
1,S,69.55,8,2,3,female,0
1,S,13.0,0,0,2,male,0
2,S,13.0,0,0,2,female,1
1,C,13.8583,1,0,2,female,1
1,S,50.4958,0,0,1,male,0
1,S,9.5,0,0,3,male,0
0,S,11.1333,1,1,3,male,1
1,S,7.8958,0,0,3,male,0
2,S,52.5542,1,1,1,female,1
1,S,5.0,0,0,1,male,0
2,S,9.0,0,0,3,male,0
1,C,24.0,1,0,2,female,1
0,C,7.225,0,0,3,female,1
1,S,9.8458,0,0,3,male,0
0,S,7.8958,0,0,3,male,0
1,S,7.8958,0,0,3,male,0
2,C,83.1583,0,1,1,female,1
1,S,26.0,0,1,2,female,1
1,S,7.8958,0,0,3,male,0
1,S,10.5167,0,0,3,female,0
1,S,10.5,0,0,2,male,0
1,S,7.05,0,0,3,male,0
1,Q,29.125,0,5,3,female,0
1,S,13.0,0,0,2,male,0
0,S,30.0,0,0,1,female,1
1,S,23.45,1,2,3,female,0
1,C,30.0,0,0,1,male,1
1,Q,7.75,0,0,3,male,0
